Price,CarBrand,CarModel,MfgDate,Mileage,Condition,GearBox,Fuel,CarOrigin,CarType,CarSeats
865000000.0,Hyundai,Solati,2018.0,119000.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,SUV,16.0
588000000.0,MG,5,2022.0,0.0,Mới,Tự động,Xăng,Thái Lan,Sedan,5.0
290000000.0,Luxgen,7 SUV,2011.0,109000.0,Đã sử dụng,Tự động,Xăng,Đài Loan,SUV,7.0
538000000.0,Mitsubishi,Xpander,2020.0,52000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,MPV,7.0
420000000.0,Honda,Brio,2021.0,14000.0,Đã sử dụng,Tự động,Xăng,Nước khác,Hatchback,5.0
445000000.0,Toyota,Vios,2021.0,15000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
1250000000.0,Ford,Explorer,2017.0,33000.0,Đã sử dụng,Tự động,Xăng,Mỹ,SUV,8.0
295000000.0,Toyota,Corolla Altis,2009.0,10000.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,Sedan,5.0
1160000000.0,Mercedes Benz,GLC Class,2018.0,45000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
415000000.0,Nissan,Navara,2017.0,89000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,Pick up,5.0
195000000.0,Hyundai,Grand i10,2014.0,7000.0,Đã sử dụng,Số sàn,Xăng,Ấn Độ,Sedan,5.0
570000000.0,Toyota,Camry,2016.0,65000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
408000000.0,Hyundai,Accent,2023.0,0.0,Mới,Tự động,Xăng,Việt Nam,Sedan,5.0
359000000.0,Hyundai,Sonata,2012.0,110000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
176000000.0,Ford,Everest,2007.0,137000.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,SUV,5.0
1029000000.0,Ford,Everest,2023.0,0.0,Mới,Tự động,Dầu,Thái Lan,SUV,7.0
169000000.0,Ford,Transit,2009.0,888888.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,Van,7.0
650000000.0,Mazda,3,2022.0,9700.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
475000000.0,Toyota,Vios,2020.0,18000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
579000000.0,Mazda,3,2023.0,0.0,Mới,Tự động,Xăng,Việt Nam,Sedan,5.0
490000000.0,Ford,Fiesta,2015.0,87000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
